datetime,Conductivity,Temperature
1/4/2019 20:00,49962,30.69
1/4/2019 20:15,49981.1,30.65
1/4/2019 20:30,49904.6,30.65
1/4/2019 20:45,50000.3,30.65
1/4/2019 21:00,50057.8,30.68
1/4/2019 21:15,50057.8,30.65
1/4/2019 21:30,49981.1,30.68
1/4/2019 21:45,50153.9,30.68
1/4/2019 22:00,50105.8,30.72
1/4/2019 22:15,50211.7,30.7
1/4/2019 22:30,50182.8,30.69
1/4/2019 22:45,50134.7,30.67
1/4/2019 23:00,50163.5,30.69
1/4/2019 23:15,50115.4,30.68
1/4/2019 23:30,50240.6,30.65
1/4/2019 23:45,50115.4,30.63
1/5/2019 0:00,50173.2,30.6
1/5/2019 0:15,50173.2,30.7
1/5/2019 0:30,50337.3,30.77
1/5/2019 0:45,50346.9,30.78
1/5/2019 1:00,50346.9,30.76
1/5/2019 1:15,50221.3,30.7
1/5/2019 1:30,50173.2,30.65
1/5/2019 1:45,50250.3,30.64
1/5/2019 2:00,50202.1,30.63
1/5/2019 2:15,50279.2,30.65
1/5/2019 2:30,50327.6,30.67
1/5/2019 2:45,50231,30.65
1/5/2019 3:00,50259.9,30.61
1/5/2019 3:15,50288.9,30.6
1/5/2019 3:30,50182.8,30.61
1/5/2019 3:45,50337.3,30.63
1/5/2019 4:00,50240.6,30.61
1/5/2019 4:15,50163.5,30.6
1/5/2019 4:30,50279.2,30.6
1/5/2019 4:45,50288.9,30.59
1/5/2019 5:00,50298.6,30.57
1/5/2019 5:15,50269.6,30.59
1/5/2019 5:30,50221.3,30.59
1/5/2019 5:45,49733.1,30.47
1/5/2019 6:00,50269.6,30.53
,,
,,
,,
,,
,,
,,
1/5/2019 7:45,50221.3,30.81
1/5/2019 8:00,50250.3,30.81
1/5/2019 8:15,50250.3,30.81
1/5/2019 8:30,50346.9,30.81
1/5/2019 8:45,50346.9,30.82
1/5/2019 9:00,50366.3,30.85
1/5/2019 9:15,50366.3,30.86
1/5/2019 9:30,50308.2,30.91
1/5/2019 9:45,50405.1,31.07
1/5/2019 10:00,50376,31.03
1/5/2019 10:15,50424.5,31.08
1/5/2019 10:30,50414.8,31.1
1/5/2019 10:45,50366.3,31.14
1/5/2019 11:00,50395.4,31.08
1/5/2019 11:15,50308.2,31.07
1/5/2019 11:30,50337.3,31.12
1/5/2019 11:45,50414.8,31.16
1/5/2019 12:00,50414.8,31.19
1/5/2019 12:15,50337.3,31.14
1/5/2019 12:30,50279.2,31.02
1/5/2019 12:45,50463.3,31.02
1/5/2019 13:00,50279.2,30.97
1/5/2019 13:15,50327.6,31.03
1/5/2019 13:30,50231,30.93
1/5/2019 13:45,50376,30.99
1/5/2019 14:00,50298.6,31.02
1/5/2019 14:15,50366.3,31.16
1/5/2019 14:30,50385.7,31.18
1/5/2019 14:45,50366.3,31.2
1/5/2019 15:00,50482.7,31.23
1/5/2019 15:15,50385.7,31.2
1/5/2019 15:30,50434.2,31.15
1/5/2019 15:45,50337.3,31.05
1/5/2019 16:00,50337.3,31.01
1/5/2019 16:15,50414.8,31.01
1/5/2019 16:30,50405.1,31.03
